FuelType,ElectricFuelConsumption,NetGeneration
Biomass,"55,636","4,255"
Petroleum,"92,019","5,153"
Petroleum,"39,367","3,305"
Petroleum,"14,848","1,653"
Petroleum,0,0
Petroleum,"1,830",136
Petroleum,0,66
Petroleum,"2,628",195
Petroleum,"1,372",118
Petroleum,"264,975","17,885"
Petroleum,"3,279,714","344,195"
Petroleum,"5,883",700
Petroleum,42,6
Petroleum,"25,551","3,777"
Petroleum,"258,573","30,216"
Petroleum,0,0
Petroleum,"184,748","19,252"
Hydro,"563,941","57,056"
Hydro,"2,419,336","244,773"
Hydro,"3,259,376","329,763"
Hydro,"5,663,122","572,958"
Petroleum,"3,270,035","370,545"
Petroleum,"443,840","29,382"
Petroleum,"253,135","25,141"
Petroleum,58,4
Gas,0,"336,597"
Gas,"12,809,260","1,185,654"
Gas,"8,559,573","525,319"
Gas,0,"190,080"
Gas,"8,440,033","621,908"
Gas,"2,476,450","192,493"
Gas,"5,242,277","468,275"
Gas,0,0
Gas,0,0
Gas,0,0
Gas,"686,835","50,775"
Other,0,0
Other,0,0
Petroleum,"2,998,057","333,015"
Petroleum,"163,502","7,138"
Coal,"1,856,508","138,917"
Coal,"582,253","88,101"
Coal,"413,545","73,163"
Coal,"2,562,788","153,263"
Coal,"266,187","39,352"
Coal,"1,019,142","74,027"
Wind,"30,270","3,062"
Gas,"4,021,254","123,646"
Biomass,"1,451,029","176,274"
Biomass,"306,834","37,199"
Biomass,"1,671,380","244,022"
Biomass,"62,575","9,342"
Biomass,"531,946","79,231"
Biomass,"2,592,176","245,980"
Biomass,"1,507,269","296,011"
Biomass,0,0
Biomass,"597,487","117,340"
Biomass,"763,263","155,029"
Biomass,"446,511","90,693"
Biomass,"1,747,560","306,418"
Biomass,"1,617,218","283,564"
Biomass,"64,856","5,602"
Biomass,"6,211,463","1,017,398"
Biomass,"25,937","2,628"
Biomass,"1,600,604","224,465"
Coal,"79,317,545","7,947,704"
Coal,"52,599,048","5,198,073"
Coal,"23,523,960","2,349,928"
Coal,"79,507,616","8,014,847"
Coal,"32,339,784","2,917,660"
Coal,"50,890,250","4,677,053"
Coal,"32,778,498","3,014,525"
Coal,"499,170","60,399"
Coal,0,0
Coal,"1,161,352","110,223"
Coal,"266,440","52,326"
Coal,"6,610,703","459,398"
Coal,"595,941","112,929"
Petroleum,0,0
Petroleum,"98,592","9,381"
Petroleum,"35,501","2,573"
Petroleum,0,0
Petroleum,"10,802",699
Petroleum,"182,353","18,217"
Petroleum,"14,873","1,088"
Petroleum,"251,595","21,371"
Petroleum,"121,593","11,149"
Petroleum,"128,430","11,729"
Petroleum,0,91
Petroleum,"2,563",205
Petroleum,0,0
Petroleum,0,-107
Petroleum,"48,572","5,885"
Petroleum,0,0
Petroleum,0,0
Petroleum,"11,387","2,313"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"170,437","15,130"
Petroleum,0,0
Petroleum,42,3
Petroleum,0,0
Petroleum,"8,236",719
Petroleum,"79,623","13,416"
Hydro,"8,534,991","863,516"
Hydro,"5,059,709","511,909"
Hydro,"7,560,854","764,959"
Hydro,"4,886,552","494,390"
Hydro,"6,453,184","652,892"
Hydro,"4,371,465","442,277"
Hydro,"7,628,047","771,757"
Hydro,"15,369,906","1,555,029"
Hydro,"4,902,406","495,994"
Hydro,"1,999,603","202,307"
Hydro,"29,348,710","2,969,315"
Hydro,"20,056,103","2,029,148"
Coal,0,0
Gas,"313,469","2,156,430"
Gas,"41,903,740","3,888,492"
Gas,"947,451","94,276"
Gas,"1,677,544","124,267"
Gas,"146,728","14,756"
Gas,"1,292",85
Gas,"669,244","822,981"
Gas,"16,894,923","1,488,177"
Gas,"731,294","70,451"
Gas,0,0
Gas,"329,944","32,746"
Gas,"3,858,871","2,772,552"
Gas,"47,637,414","4,481,723"
Gas,1,"358,695"
Gas,"10,812,759","1,147,743"
Gas,"1,653,270","1,284,834"
Gas,"22,000,583","2,008,290"
Gas,"358,414","43,485"
Gas,0,0
Gas,"58,687","8,140"
Gas,"315,913","29,820"
Gas,"2,289,255","65,734"
Gas,"167,646","32,924"
Gas,"6,210","24,543"
Gas,"21,845","1,525"
Gas,"239,395","48,624"
Gas,"1,203,734","199,122"
Gas,"109,012","19,114"
Gas,0,"90,357"
Gas,"1,996,884","171,831"
Gas,"300,153","237,874"
Gas,"4,120,553","368,716"
Gas,0,"1,032,966"
Gas,"24,052,154","2,010,377"
Gas,"180,361","1,393,684"
Gas,"32,241,477","2,826,156"
Gas,"982,686","91,993"
Gas,"158,674","268,886"
Gas,"5,281,630","465,872"
Gas,"642,882","231,100"
Gas,"14,649,760","1,164,480"
Gas,"149,807","14,562"
Gas,"112,758","10,607"
Gas,"88,345","12,497"
Gas,0,0
Gas,"9,597","1,704"
Gas,"279,955","15,720"
Gas,0,0
Gas,0,0
Gas,"662,529","56,312"
Gas,"9,505","1,498"
Gas,"1,568,060","483,547"
Nuclear,"91,861,299","8,758,705"
Nuclear,"81,895,642","7,808,509"
Nuclear,"96,231,732","9,175,413"
Nuclear,"70,386,269","6,711,124"
Nuclear,"76,168,608","7,262,453"
Gas,"521,125","75,948"
Petroleum,"8,741","1,110"
Petroleum,"13,562","2,093"
Petroleum,0,0
Petroleum,"122,798","36,752"
Coal,0,0
Coal,0,0
Coal,0,0
Coal,0,0
Coal,0,0
Coal,0,0
Coal,0,0
Coal,0,0
Coal,"214,323,542","20,744,807"
Other,"49,810","7,137"
Petroleum,"47,030","9,236"
Biomass,"1,478,906","236,949"
Biomass,"1,057,707","169,465"
Biomass,"1,323,666","263,708"
Biomass,"8,476","1,689"
Biomass,"309,950","61,750"
Biomass,"2,961,529","489,568"
Biomass,"712,075","117,712"
Biomass,"420,289","36,176"
Biomass,"52,219","10,920"
Biomass,"30,388","2,618"
Biomass,"1,690",318
Biomass,0,0
Biomass,"513,563","87,437"
Coal,"537,883","88,917"
Petroleum,291,19
Petroleum,401,-133
Petroleum,0,0
Petroleum,"165,188","16,152"
Petroleum,"69,110","6,587"
Petroleum,"124,137","12,137"
Petroleum,"1,818",291
Petroleum,"6,448","1,284"
Petroleum,0,0
Petroleum,"3,373",304
Petroleum,0,0
Petroleum,430,42
Petroleum,"4,017",729
Hydro,"1,840,708","186,231"
Hydro,"784,890","79,410"
Hydro,0,"100,365"
Hydro,"3,363,051","340,252"
Hydro,"2,263,545","229,011"
Hydro,"8,736,586","883,912"
Hydro,"8,059,682","815,427"
Hydro,"2,763,536","279,597"
Hydro,"4,400,980","445,263"
Hydro,"9,219,960","932,816"
Hydro,"32,112","3,249"
Gas,"283,848","20,107"
Gas,"63,846","2,288"
Gas,"676,442","44,526"
Gas,"1,559,406","132,236"
Gas,0,0
Gas,0,"15,656"
Gas,"591,964","46,182"
Gas,"210,540","16,659"
Gas,"1,220,047","95,235"
Gas,"349,321","55,968"
Gas,"146,423","29,171"
Gas,"595,049","98,367"
Gas,"44,697","257,686"
Gas,"6,754,904","1,086,085"
Gas,0,"32,033"
Gas,"1,392,581","128,457"
Gas,0,"110,592"
Gas,"2,574,001","227,161"
Gas,"969,501","1,604,493"
Gas,"30,299,526","2,611,340"
Gas,"732,227","634,337"
Gas,"11,779,470","1,072,313"
Gas,"67,470","990,716"
Gas,"19,287,440","1,787,540"
Gas,"368,143","27,671"
Gas,0,0
Gas,"235,207","20,261"
Gas,"619,314","58,047"
Gas,"25,714","2,519"
Gas,"3,579",308
Gas,"884,124","160,462"
Nuclear,"76,584,393","7,302,097"
Nuclear,"82,518,211","7,867,869"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,-25
Petroleum,0,0
Petroleum,0,0
Petroleum,"66,552","5,947"
Petroleum,"424,343","38,969"
Petroleum,0,0
Petroleum,"13,780","2,278"
Coal,"110,118,998","10,786,754"
Coal,"29,325,112","2,821,627"
Coal,"117,209,755","11,377,952"
Other,"60,678","9,722"
Other,0,0
Other,"86,486","14,297"
Petroleum,"19,299","3,092"
Petroleum,0,0
Biomass,0,0
Biomass,"1,534,683","137,674"
Biomass,"227,745","18,355"
Biomass,"17,887","3,616"
Coal,0,0
Coal,"1,504,172","135,565"
Coal,0,0
Coal,"161,739,154","16,118,198"
Coal,0,0
Coal,0,0
Coal,0,0
Petroleum,"32,775","3,165"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"38,811","3,180"
Petroleum,0,0
Petroleum,0,0
Petroleum,35,-315
Petroleum,0,-147
Petroleum,0,-311
Petroleum,0,0
Petroleum,"225,999","22,485"
Petroleum,"102,915","9,852"
Petroleum,"205,145","19,571"
Petroleum,"13,204",716
Petroleum,426,39
Petroleum,312,8
Petroleum,"3,243",312
Petroleum,"18,061","3,136"
Hydro,"382,984","38,748"
Hydro,0,"81,750"
Hydro,"135,528","13,712"
Hydro,0,"45,180"
Hydro,"11,061,748","1,119,157"
Hydro,"36,609,012","3,703,866"
Hydro,0,"42,550"
Hydro,"12,602,379","1,275,028"
Hydro,"1,956,559","197,952"
Gas,"14,191","1,359"
Gas,"47,633","2,310"
Gas,"915,653","78,728"
Gas,"76,966","344,572"
Gas,"3,540,653","332,149"
Gas,"9,886,257","843,669"
Gas,"18,943",783
Gas,"360,884","24,645"
Gas,"865,547","66,102"
Gas,"723,728","62,464"
Gas,"3,475,538","318,758"
Gas,"86,736","5,750"
Gas,"6,274,587","541,088"
Gas,"89,023","4,719"
Gas,"802,867","60,123"
Gas,"61,807","242,018"
Gas,"5,480,194","478,493"
Gas,"47,136","2,104"
Gas,0,-520
Gas,"413,092","34,009"
Gas,"168,467","8,630"
Gas,"680,733","49,130"
Gas,"557,339","50,806"
Gas,"1,599,817","1,449,193"
Gas,"2,854,551","296,927"
Gas,"25,379,037","2,235,238"
Gas,"1,445,534","690,811"
Gas,"10,795,769","973,553"
Gas,"394,740","434,449"
Gas,"7,843,122","658,473"
Gas,"2,875","727,619"
Gas,"15,208,309","1,347,820"
Gas,"90,756","295,844"
Gas,"5,852,411","513,351"
Gas,"1,539,599","2,489,617"
Gas,"46,607,720","3,883,791"
Gas,0,"1,218,917"
Gas,"23,212,739","1,881,997"
Gas,"99,478","1,476,864"
Gas,"30,161,334","2,529,494"
Gas,"3,758,755","3,011,405"
Gas,"50,614,309","4,388,475"
Gas,"1,740,949","166,981"
Gas,"63,219","5,614"
Gas,"444,534","50,477"
Gas,0,0
Gas,"1,074,447","123,310"
Gas,"60,881","104,239"
Gas,"2,767,008","267,762"
Gas,63,3
Gas,"555,904","55,313"
Gas,"55,064","11,131"
Gas,"66,772","11,593"
Nuclear,"121,553,027","11,589,724"
Nuclear,"99,862,016","9,509,521"
Nuclear,"100,292,610","9,562,606"
Other,"5,984",534
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Solar,"4,181",423
Solar,"5,229",529
Solar,"1,986",201
Solar,"66,104","6,688"
Solar,"58,499","5,918"
Coal,"74,834,188","7,231,600"
Coal,0,0
Coal,"21,351,562","1,957,025"
Coal,"57,666,291","5,565,186"
Coal,"87,434,649","8,454,663"
Coal,"1,852,304","321,588"
Wind,"94,442","9,555"
Wind,0,0
Petroleum,"63,856","5,646"
Biomass,"1,089,650","74,719"
Biomass,"1,522,898","125,795"
Biomass,"5,472,526","344,152"
Biomass,"245,407","11,700"
Biomass,"395,368","36,764"
Biomass,"3,984,805","369,251"
Biomass,"148,953","20,362"
Biomass,"3,576,906","228,158"
Biomass,"2,538,074","169,673"
Biomass,"4,772,785","341,312"
Biomass,"1,680,202","128,401"
Biomass,"2,253,697","123,261"
Biomass,0,0
Biomass,"7,586,522","392,619"
Biomass,0,0
Biomass,"552,271","42,716"
Biomass,"1,449,288","100,191"
Biomass,"7,149,820","576,868"
Biomass,"2,769,009","199,193"
Biomass,"2,524,344","177,443"
Biomass,"1,822,487","114,750"
Biomass,"19,909,746","1,307,836"
Biomass,"569,456","53,135"
Biomass,"1,133,394","102,670"
Biomass,0,0
Biomass,0,0
Biomass,"118,968","22,959"
Biomass,"1,411,818","133,495"
Biomass,"144,975","12,484"
Biomass,"1,082,461","142,645"
Biomass,"5,348,535","710,077"
Coal,"8,252,200","781,974"
Coal,"1,664,247","227,457"
Coal,"1,773,275","372,746"
Coal,"1,816,577","154,181"
Coal,"646,141","50,695"
Coal,0,0
Coal,"3,808,051","361,226"
Petroleum,"29,823","1,477"
Petroleum,0,0
Petroleum,0,0
Petroleum,"75,672","4,318"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,84
Petroleum,"2,649",203
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"225,329","13,480"
Petroleum,"305,981","28,716"
Petroleum,53,4
Petroleum,0,0
Petroleum,0,0
Petroleum,"1,902",116
Petroleum,"9,914",921
Petroleum,308,16
Petroleum,"9,925",925
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"4,719",598
Petroleum,229,17
Petroleum,0,0
Petroleum,0,0
Geothermal,"98,390,560","4,681,475"
Geothermal,"6,293,122","299,430"
Geothermal,"9,901,677","471,127"
Geothermal,"9,077,810","431,927"
Geothermal,"12,525,503","595,970"
Geothermal,"12,116,469","576,508"
Geothermal,"10,661,609","507,285"
Geothermal,"10,368,485","493,338"
Geothermal,"5,322,911","253,267"
Geothermal,"729,163","34,694"
Geothermal,"7,997,049","380,504"
Geothermal,"90,316,588","4,297,311"
Hydro,0,"131,112"
Hydro,"4,478,816","453,138"
Hydro,"2,052,846","207,694"
Hydro,"2,683,703","271,520"
Hydro,"4,344,722","439,571"
Hydro,"4,216,772","426,626"
Hydro,"5,744,523","581,194"
Hydro,"2,865,214","289,884"
Hydro,"3,998,611","404,554"
Hydro,"6,838,532","691,879"
Hydro,"4,133,480","418,199"
Hydro,"4,171,424","422,038"
Hydro,"3,049,562","306,562"
Hydro,"3,987,079","403,387"
Hydro,"4,274,147","431,600"
Hydro,"6,412,353","648,568"
Hydro,"3,813,969","385,825"
Hydro,"3,216,966","325,437"
Hydro,"5,356,069","541,866"
Hydro,"6,484,150","656,025"
Hydro,"3,440,216","348,059"
Hydro,"4,337,988","438,890"
Hydro,0,0
Hydro,0,"465,360"
Hydro,"1,906,367","192,874"
Hydro,"4,824,371","488,099"
Hydro,"2,960,072","299,481"
Hydro,"4,477,720","453,027"
Hydro,"756,610","76,549"
Hydro,"4,543,024","459,634"
Hydro,"5,483,495","554,785"
Hydro,"12,440,665","1,258,667"
Hydro,0,0
Hydro,"1,728,673","174,264"
